0,"Bonne Terre, MO"
1,"Seattle, Wash."
2,"Buena Park, Calif."
3,"Altamonte Springs, FL"
4,"Port Washington, N.Y."
5,"Somerset West, South Africa"
6,"Eden Prairie, Minn."
7,"St. Catharines, Ont., Canada"
8,"Cypress, TX"
9,-
10,"Miramar, Fla."
11,"Barnstable, MA"
12,"Eagle River, Alaska"
13,"Dover, NH"
14,"Olney, Md."
15,"Richmond, Va."
16,"Newton, Mass."
17,"Burke, VA"
18,"Dover, MA"
19,"Jericho, N.Y."
20,"Seattle, Wa."
21,"Clarkston, MI"
22,"Toronto, Ont."
23,"Petaluma, Calif."
24,"Whiteland, IN"
25,"Concord, Mass."
26,"Saratoga, CA"
27,"Auckland, New Zealand"
28,"Princeton, N.J."
29,"Longwood, FL"
30,"Alexandria, Va."
31,"Morgantown, W. Va."
32,"Skillman, NJ"
33,"Buffalo, NY"
34,"Houston, Texas"
35,"Eugene, OR"
36,"Wheaton, I.L."
37,"Brookline, Mass."
38,"Sevilla, Spain"
39,"Trujillo Alto, Puerto Rico"
40,"Potomac, Md."
41,"Rochester Hills, MI"
42,"Manorville, N.Y."
43,"Pikesville, Md."
44,"Oakland, Calif."
45,"Valparaiso, Ind."
46,"Mahopac, NY"
47,"Los Angeles, CA"
48,"Pittsburgh, Pa."
49,"Olathe, KS"
50,"Olive Branch, MS"
51,"San Juan Capistrano, CA"
52,"Redondo Beach, Calif."
53,"Manchester, Mass."
54,"Hockessin, Del."
55,"Westwood, Mass."
56,"Oceanside, CA"
57,"Chesterfield, MO"
58,"Pittsburgh, PA"
59,"Indianapolis, Ind."
60,"Ventura, Calif."
61,"Sonoma, Calif."
62,"Los Angeles, Calif."
63,"New York, NY"
64,"Madison, Ct"
65,"Glen Rock, N.J."
66,"Bakersfield, CA"
67,"Reno, NV"
68,"Green Bay, WI"
69,"Toms River, N.J."
70,"Brentwood, Tenn."
71,"Palo Alto, CA"
72,"Hinsdale, Ill."
73,"Kent, United Kingdom"
74,"Louisville, KY"
75,"Baudette, Minn."
76,"North Vancouver, B.C."
77,"Davis, Calif."
78,"Rancho Santa Fe, Calif."
79,"Des Moines, IA"
80,"Basking Ridge, N.J."
81,"San Francisco, Calif."
82,"Gilbert, Ariz."
83,"Ansonia, CT"
84,"Burlington, VT"
85,"East Greenbush, NY"
86,"Wilmette, Ill."
87,"Miami, Fla."
88,"East Greenwich, R.I."
89,"Norwell, MA"
90,"Morristown, N.J."
91,"Chevy Chase, Md."
92,"Kingwood, TX"
93,"Oxford, U.K."
94,"Orono, Minn."
95,"Lake Forest, Ill."
96,"New York, N.Y."
97,"Basking Ridge, NJ"
98,"Wilder, Ky."
99,"Miami, Florida"
100,"Shrub Oak, NY"
101,"Rock Island, IL"
102,"Pound Ridge, N.Y."
103,"Short Hills, N.J."
104,"Toronto, Canada"
105,"Birmingham, Mich."
106,"Dorchester, Mass."
107,"Valhalla, N.Y."
108,"Atlanta, GA"
109,"Guilford, CT"
110,"Radnor, Pa."
111,"North London, England"
112,"London, United Kingdom"
113,"Tampa, Fla."
114,"San Diego, Calif."
115,"Edina, Minn."
116,"Davie, FL"
117,"Danville, Va."
118,"Victoria, Australia"
119,Madrid
120,"Santa Margarita, CA"
121,"Clarksville, Md."
122,"Oyster Bay Cove, N.Y."
123,"Chesterton, Ind."
124,"Newtown, Pa."
125,"Riverton, N.J."
126,"Gates Mills, Ohio"
127,"West Hattiesburg, Miss."
128,"Gansevoort, NY"
129,"Grand Prairie, TX"
130,"Detroit, MI"
131,San Diego
132,"Troy, Mich."
133,"Naperville, Ill."
134,"Lansdale, Pa."
135,"Ann Arbor, Mich."
136,"San Mateo, Calif."
137,"The Woodlands, Texas"
138,"Stamford, CT"
139,"Evergreen, Colo."
140,"Richmond Hill, Ontario"
141,"Silverdale, Wash."
142,"Katy, Texas"
143,"Chico, Calif."
144,"Bethesda, MD"
145,"Germantown, MD"
146,"Lincoln, Neb."
147,"Amherst, MA"
148,"Austin, TX"
149,"Cerritos, Calif."
150,"Donkin, N.S."
151,"San Carlos, Calif."
152,"Wayne, N.J."
153,"Newtown Square, Pa."
154,"Orlando, FL"
155,"Philadelphia, Penn."
156,"Annapolis, Md."
157,"Monroe, Conn."
158,"Charlotte, N.C."
159,"Richmond, United Kingdom"
160,"Larchmont, N.Y."
161,"Boston, MA"
162,"Medfield, MA"
163,"East London, South Africa"
164,"John's Creek, Ga."
165,"Guilford, Conn."
166,"Portage, Mich."
167,"West Palm Beach, FL"
168,"Trophy Club, TX"
169,"Clemson, S.C."
170,"St. Louis Park, MN"
171,"Chattanooga, Tenn."
172,"Marietta, Ga."
173,"Wenonah, NJ"
174,"Clifton, N.J."
175,"Kinnelon, N.J."
176,"Beaumont, TX"
177,"West Harrison, N.Y."
178,"McLean, Va."
179,"Highland Park, IL"
180,"Gales Ferry, Conn."
181,"Wexford, PA"
182,"Mission Hills, Kan."
183,"Weston, Fl."
184,"Allendale, N.J."
185,"Lake Oswego, OR"
186,"Dunkirk, Md."
187,"Peachtree City, GA"
188,"Mendham, N.J."
189,"Marblehead, Mass."
190,"Glen Ellyn, IL"
191,"Lake Forest, IL"
192,"Hendersonville, TN"
193,"Bloomfield Hills, MI"
194,"Kingsport, TN"
195,"Detroit, Mich."
196,"New Braunfels, TX"
197,"Ladera Ranch, Calif."
198,"Bloomingdale, N.J."
199,"Minneapolis, MN"
200,"Cheswick, Pa."
201,"Winnetka, IL"
202,"Bend, OR"
203,"Hudson, OH"
204,"Mercer Island, Wash."
205,"Washington Crossing, Penn."
206,"Irvine, Calif."
207,"South Barrington, Ill."
208,"Brisbane, Australia"
209,"Philadelphia, Pa."
210,"Elkhorn, Neb."
211,"Marriotsville, Md."
212,"Greenwich, Conn."
213,"Colts Neck, N.J."
214,"Indianapolis, IN"
215,"Malvern, PA"
216,"Nashua, N.H."
217,"Fenton, Mich."
218,"Lexington, MA"
219,"Glen Mills, Pa."
220,"Washington, D.C."
221,"Olympia, Wash."
222,"Boise, ID"
223,"Auburn, ME"
224,"Silver Spring, MD"
225,"Woodbridge, Conn."
226,"Brooklyn, N.Y."
227,"Tulsa, OK"
228,"Nashville, Tenn."
229,"Deerfield, Ill."
230,"Valrico, Fla."
231,"Lorton, Va."
232,"Upper St. Clair, PA"
233,"Wexford, Pa."
234,"Jupiter, Fla."
235,"Cromwell, CT"
236,"Kensington, CT"
237,"Burr Ridge, IL"
238,"Ile Cadieux, Quebec"
239,"Mineola, N.Y."
240,"Buffalo, N.Y."
241,"Alpharetta, GA"
242,"Atlanta, Ga."
243,"Fayetteville, NY"
244,"Carol Stream, Ill."
245,"Rochester, N.Y."
246,"Cambridge, New Zealand"
247,"Mumbai, India"
248,"Darien, Conn."
249,"Missoula, MT"
250,"Upperco, Md."
251,"Ashley Falls, Mass."
252,"Cranbury, N.J."
253,"Lutherville, MD"
254,"Freeport, N.Y."
255,"Hillsborough, N.J."
256,"Joliet, Ill."
257,"Newark, N.J."
258,"Rye, N.Y."
259,"Paoli, Pa."
260,"New Milford, Conn."
261,"Chatham, N.J."
262,"Elk Grove Village, IL"
263,"Baltimore, Md."
264,"Mobile, AL"
265,"Urbana, Ill."
266,"Tenafly, N.J."
267,"Dallas, TX"
268,"Vernon Hills, IL"
269,"Cambridge, Mass."
270,"Mississauga, Ont."
271,"Santa Monica, CA"
272,"Vero Beach, FL"
273,"El Dorado Hills, Calif."
274,"Williamston, Mich."
275,"Pinehurst, N.C."
276,"Temecula, CA"
277,"Haddonfield, N.J."
278,"West Chester, Pa."
279,"Jacksonville, Fla."
280,"Palos Verdes, Calif."
281,"Santa Barbara, CA"
282,"Bridgewater, N.J."
283,"Altadena, CA"
284,"Boulder, Colorado"
285,"Istanbul, Turkey"
286,"St. Louis, Mo."
287,"Nashville, TN"
288,"Offa Kwara State, Nigeria"
289,"Bronx, NY"
290,"Mount Prospect, Ill."
291,"Scarsdale, N.Y."
292,"Lakewood, WA"
293,"Mequon, WI"
294,"Oconomowoc, WI"
295,"Lawrenceville, NJ"
296,"Midland, TX"
297,"Charlotte, NC"
298,"Oak Park, IL"
299,"Worthington, Ohio"
300,"Newberry, Fla."
301,"Potomac, MD"
302,"Reno, Nev."
303,"Edina, MN"
304,"Macedon, NY"
305,"Blue Bell, PA"
306,"La Jolla, Calif."
307,"Grand Ledge, MI"
308,"Christchurch, New Zealand"
309,"Gladwyne, Pa."
310,"Rydal, PA"
311,"Montreal, Que."
312,"Wayne, Pa."
313,"Armonk, NY"
314,"Waban, Mass."
315,"Wayzata, Minn."
316,"Sugarland, Texas"
317,"Groton, CT"
318,"Seattle, WA"
319,"Hanson, MA"
320,"Boca Raton, FL"
321,"Newport Beach, Calif."
322,"Glen Head, N.Y."
323,"Mansfield, TX"
324,"Laguna Beach, Calif."
325,"Sammamish, Wash."
326,"Jackson, Mo."
327,"Franklin, TN"
328,"North Potomac, Md."
329,"Acton, MA"
330,"Greenwood Village, CO"
331,"Belgrade, Serbia"
332,"Oakland, ME"
333,"Mount Kisco, NY"
334,"Toronto, ONT"
335,"Montgomery, TX"
336,"State College, PA"
337,"Ann Arbor, MI"
338,"Weston, Mass."
339,"Chapin, SC"
340,"Columbia, MD"
341,"Hanson, Mass."
342,"Wantagh, NY"
343,"Northbrook, IL"
344,"Homestead, FL"
345,"Allentown, PA"
346,"Chatsworth, CA"
347,"Bridgeport, CT"
348,Singapore
349,"Spokane, Wash."
350,"Point Lookout, N.Y."
351,"Garden City, N.Y."
352,"Merrick, N.Y."
353,"Loudonville, NY"
354,"Glen Rock, NJ"
355,"Nanaimo, BC"
356,"Vienna, Va."
357,"Saskatoon, SK"
358,"Orange, CT"
359,"Westford, Mass."
360,"Mesa, AZ"
361,"Clifton, VA"
362,"Centerville, Ohio"
363,"Waccabuc, N.Y."
364,"Woodbury, NY"
365,"Marlboro, MA"
366,"Yardley, PA"
367,"Garden City, NY"
368,"LaVerne,  CA"
369,"Lima, OH"
370,"Fremont, Ca."
371,"Mount Lebanon, PA"
372,"San Jose, Calif."
373,"Fairlawn, Ohio"
374,"Ridgefield, CT"
375,"Houston, TX"
376,"Pacific Palisades, Calif."
377,"Flower Mound, Texas"
378,"Boca Raton, Fla."
379,"Newton, MA"
380,"Devon, Pa."
381,"South Holland, Ill."
382,"Glenview, Ill."
383,"West Grove, PA"
384,"Wading River, N.Y."
385,"Berlin, CT"
386,"Sunrise, Fla."
387,"Maple Grove, Minn."
388,"Olathe, Kan."
389,"Rindge, NH"
390,"Downingtown, PA"
391,"Mansfield, OH"
392,"Wayland, Mass."
393,"Bronxville, N.Y."
394,"Dallas, Texas"
395,"Doylestown, PA"
396,"Zagreb, Croatia"
397,"Derry, NH"
398,"Voorhees, N.J."
399,"Hopewell Junction, N.Y."
400,"Holland, MI"
401,"Bedford, NH"
402,"Geyserville, CA"
403,"Brimingham, Mich."
404,"Ashtabula, OH"
405,"Manhattan Beach, Calif."
406,"Carrollton, TX"
407,"Wallingford, CT"
408,"Pittsfield, MA"
409,"Roswell, GA"
410,"Raytown, MO"
411,"Port Angeles, Wash."
412,"West Orange, NJ"
413,"Ogdensburg, N.J."
414,"Wichita, Kans."
415,"Sandy, UT"
416,"Summit, N.J."
417,"Philadelphia, P.A."
418,"Fort Wayne, Ind."
419,"Manchester, Me."
420,"Phoenix, AZ"
421,"Flemington, N.J."
422,"Weston, Conn."
423,"Redmond, WA"
424,"Los Altos, Calif."
425,"Glencoe, Ill."
426,"Bothell, Wash."
427,"Bethesda, Maryland"
428,"Newnan, GA"
429,"Vienna, VA"
430,"Long Grove, IL"
431,"Salem, OR"
432,"Stockholm, Sweden"
433,"Santa Monica, Calif."
434,"Red Deer, Alta."
435,"Longwood, Fla."
436,"Berkeley, Calif."
437,"Exeter, N.H."
438,"Pleasantton, CA"
439,"Albuquerque, NM"
440,"Oceanport, N.J."
441,"Tucson, Ariz."
442,"Orinda, Calif."
443,"Davidsonville, Md."
444,"Mountain Lakes, N.J."
445,"Harvard, Mass."
446,"Dublin, Ireland"
447,"Woodstock, Conn."
448,"Darien, CT"
449,"Cupertino, Calif."
